index,molecule,actual,average_prediction,standard_deviation
77,CaBr,4.36,4.355395148739313,0.009244661637976348
78,CaCl,4.257,4.2621366437607975,0.009213466505593827
79,CaCl,4.257,4.250668441917781,0.009785978363242335
80,CaF,3.07,3.0821242513882448,0.021628535875320227
81,CaF,3.07,3.052286239605028,0.021663423739977667
82,CaI,4.58,4.579266532255243,0.003497041858431799
83,CaI,4.58,4.581446092582406,0.003752082507628917
84,CaRa,0.43,0.4311684291630438,0.0025720156806212273
85,CaRa,0.43,0.43113327381866734,0.002660334884096359
86,CaSr,0.15,0.14945791764866023,0.002455071497141039
87,CaSr,0.15,0.14953887930677948,0.0023120860125339774
88,CdBa,0.02,0.020352022137543394,0.002665869555582274
89,CdBa,0.02,0.01889875635857159,0.0023548684837350967
90,CdBe,0.03,0.029457145771101922,0.002557566653740233
91,CdBe,0.03,0.030002391336936274,0.0025373431472790115
92,CdCa,0.02,0.01977597040630914,0.001988257716317283
93,CdCa,0.02,0.02059044199212037,0.002036924218078701
94,CdCs,0.4,0.39874042797025794,0.0024672452129992513
95,CdCs,0.4,0.3994853397808629,0.002434506932044524
96,CdFr,0.34,0.3418382130123723,0.0029138042100659398
97,CdFr,0.34,0.34137199849140015,0.0028251626884565548
98,CdK,0.44,0.4392750892106837,0.0019569265929135025
99,CdK,0.44,0.4387030895357079,0.001999467272267816
100,CdLi,0.54,0.5400775528151248,0.0018818555794274264
101,CdLi,0.54,0.5395112713074723,0.002082874642047888
102,CdMg,0.02,0.020244200735334106,0.001977451264379101
103,CdMg,0.02,0.019586635753150495,0.0018750529599393336
104,CdNa,0.4,0.3993382728421649,0.0016871554473386209
105,CdNa,0.4,0.40081817924344515,0.0018593140307256897
106,CdRa,0.08,0.08190843133932757,0.0028275075786401422
107,CdRa,0.08,0.07944357743782299,0.002673772419714733
108,CdRb,0.42,0.4194328853057296,0.003630514715201563
109,CdRb,0.42,0.4199305423511565,0.003543526759021478
110,CdSr,0.01,0.010555218515517578,0.003504511426759906
111,CdSr,0.01,0.009644660528275102,0.0035166335612913852
112,CdZn,0.01,0.008577440985652305,0.002730834747327783
113,CdZn,0.01,0.01071573595588129,0.002557125356439593
114,CF,0.645,0.645219453969086,0.0033239308601106573
115,CF,0.645,0.645219453969086,0.0033239308601106573
116,CH,1.46,1.4616887127921272,0.0044313333905343566
117,CH,1.46,1.4581623804405908,0.004214838977264521
118,ClF,0.8881,0.909371321100373,0.018434977911402084
119,ClF,0.8881,0.902707244866189,0.02021474437011049
120,ClH,1.1086,1.1191767875900707,0.01188777696952699
121,ClH,1.1086,1.1076236712178367,0.0035660457272360018
122,ClO,1.239,1.2093375666381552,0.021200259649391408
123,ClO,1.239,1.2317801528533003,0.012054324296378382
124,CN,1.45,1.4487585965843874,0.005504617202858319
125,CN,1.45,1.4503751519782846,0.005500000278212192
126,CO,0.122,0.12557016797689852,0.005943789760629162
127,CO,0.122,0.11800990352018005,0.0056138099636951185
128,CoF,2.82,2.810043801617943,0.016384143311382125
129,CoF,2.82,2.823808907905127,0.014948032718109565
130,CoH,1.88,1.879767129602905,0.005880705592358788
131,CoH,1.88,1.8804592984085287,0.005870526986688985
132,CoO,4.18,4.188780839793084,0.0073289086941507875
133,CoO,4.18,4.175312390121089,0.007113174302289195
134,CrBa,2.67,2.669385001600736,0.0013013178068169299
135,CrBa,2.67,2.669716248014538,0.0012216479676241444
136,CrBe,1.43,1.4296933538693826,0.0014694215543536483
137,CrBe,1.43,1.4297352955423526,0.0015145819381253576
138,CrCa,0.76,0.7623897218890908,0.003179522891622594
139,CrCa,0.76,0.7580462347163799,0.0031639350268536396
140,CrMg,0.1,0.09981034862216157,0.0014014880441627301
141,CrMg,0.1,0.09990116858456546,0.0014041588213193005
