index,molecule,actual,average_prediction,standard_deviation
486,SrBa,0.007,0.01039599212470914,0.0026427818804761346
487,SrBa,0.007,0.008878137327796732,0.0025506129083237034
488,SrF,3.4676,3.504749432617618,0.028655186544368546
489,SrF,3.4676,3.438580842294037,0.02484417945425032
490,SrO,8.9,8.880495490631924,0.008381456213180767
491,SrO,8.9,8.880495490631924,0.008381456213180767
492,SrRa,0.31,0.3081961332746511,0.003027524424629807
493,SrRa,0.31,0.308288898263557,0.002830419086912591
494,TiN,3.56,3.559573613436585,0.008321292201258261
495,TiN,3.56,3.5568818671840052,0.00809392235663345
496,TiO,3.34,3.3418004426196695,0.007403586090529277
497,TiO,3.34,3.339618701486136,0.007538330974666049
498,TlBr,4.493,4.490518867648481,0.004954599372929874
499,TlBr,4.493,4.4920434406003285,0.004915122549006786
500,TlCl,4.542,4.544781800657175,0.005875659291923201
501,TlCl,4.542,4.543940548414069,0.00650384509290163
502,TlF,4.2282,4.227641424436706,0.014497030020877565
503,TlF,4.2282,4.224740816056289,0.014051625859486752
504,TlI,4.607,4.606499229203722,0.002390962219287237
505,TlI,4.607,4.60643165001267,0.002539001113438761
506,VN,3.07,3.0700806060588346,0.00659835134359273
507,VN,3.07,3.066977969488541,0.00633575115058564
508,VO,3.355,3.3477596297663186,0.007646093802327297
509,VO,3.355,3.362557539287343,0.007525342959318887
510,WC,3.9,3.899375991647519,0.0030930480773989502
511,WC,3.9,3.8999009286444246,0.0032720666347778255
512,WN,3.77,3.7722479173769083,0.005363393328104766
513,WN,3.77,3.767652136536238,0.005299501054391498
514,YbF,3.91,3.8783822294078605,0.014600489473702231
515,YbF,3.91,3.8783822294078605,0.014600489473702231
516,YF,1.82,1.8669230343987036,0.03410665299557454
517,YF,1.82,1.8312231315387766,0.02397161735798234
518,YO,4.524,4.5309960659624515,0.01092339748923464
519,YO,4.524,4.52171888142068,0.010206800374800588
520,ZnBa,0.12,0.12025376861389403,0.0024418974553324347
521,ZnBa,0.12,0.1203572283425241,0.0024116938295387852
522,ZnBe,0.03,0.030934746682064137,0.00256419307002739
523,ZnBe,0.03,0.031087322006814258,0.0025492453600749693
524,ZnCa,0.08,0.079410626053259,0.0032074775686305114
525,ZnCa,0.08,0.07916601842224012,0.0031035996602933186
526,ZnCs,0.12,0.12059727228481693,0.002570007856589516
527,ZnCs,0.12,0.12067381173833441,0.002518466612636097
528,ZnFr,0.11,0.10954839872980812,0.0031126411324911792
529,ZnFr,0.11,0.1090470445310755,0.0031097238396625886
530,ZnK,0.18,0.18040752969386795,0.003578389258330197
531,ZnK,0.18,0.1813034704554709,0.0036675923266394255
532,ZnLi,0.3,0.3004993336475191,0.0028167638232456877
533,ZnLi,0.3,0.30181819822064715,0.002809554676389595
534,ZnMg,0.003,0.0032127080136622084,0.0023271197138293198
535,ZnMg,0.003,0.0029943471043031257,0.002257548612226491
536,ZnNa,0.2,0.1994372726191175,0.002312227075411683
537,ZnNa,0.2,0.1992131945286475,0.002365485804884356
538,ZnRa,0.02,0.018741367914002303,0.003175013864040504
539,ZnRa,0.02,0.021694891852097595,0.0028454285255149303
540,ZnRb,0.16,0.16032899953768423,0.0023036416865637403
541,ZnRb,0.16,0.15961772393054993,0.002106535186789751
542,ZnSr,0.07,0.0701394413731692,0.0028374612031408157
543,ZnSr,0.07,0.06931653699547138,0.0023115526937612777
544,ZrO,2.551,2.557293592686304,0.009149629997769916
545,ZrO,2.551,2.5477553468854226,0.009848218541953599
